CodigoCliente,CodigoContrato,DataInicio,DataTermino,Fechado,Placa,Cor,Modelo,ValorPeriodoVeiculo,ValorCombustivel,ValorLocacao,PeriodoTarifa,ValorDiversos
2351,33419,8/3/22 0:00,8/31/22 0:00,Sim,RNZ4C99,Prata Sirius,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 2.600,00","R$ 0,00","R$ 2.426,76",30,"R$ 0,00"
2354,33422,8/3/22 0:00,8/15/22 0:00,Sim,RTB7G42,Cinza,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 2.790,00","R$ 0,00","R$ 1.209,00",30,"R$ 0,00"
2357,33548,8/4/22 0:00,8/15/22 0:00,Sim,RUJ9E78,Prata,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 1.023,00",30,"R$ 0,00"
2355,33515,8/4/22 0:00,8/15/22 0:00,Sim,RUG0I80,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 1.116,00",30,"R$ 0,00"
2356,33550,8/5/22 0:00,9/4/22 0:00,Sim,RMO0G77,Branca,Toro Endurance Atd4,"R$ 6.800,00","R$ 0,00","R$ 6.800,00",30,"R$ 0,00"
2280,33554,8/6/22 0:00,8/8/22 0:00,Sim,RUF0B04,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 380,00",1,"R$ 0,00"
1666,33567,8/7/22 0:00,8/18/22 0:00,Sim,RMO6H54,Branco,Gol 1.6 Msi Flex 8v 5p,"R$ 200,00","R$ 0,00","R$ 2.200,00",1,"R$ 0,00"
1305,33556,8/8/22 0:00,8/12/22 0:00,Sim,RUJ9E77,Branco,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 760,00",1,"R$ 0,00"
2358,33564,8/9/22 0:00,8/15/22 0:00,Sim,RUF0B06,Branco,Voyage 1.0  Flex 12v 4p,"R$ 2.790,00","R$ 0,00","R$ 651,00",30,"R$ 0,00"
2304,33571,8/10/22 0:00,8/16/22 0:00,Sim,QQU2457,Preta,Corolla Gli 1.8 Cvt,"R$ 380,00","R$ 0,00","R$ 2.530,00",1,"R$ 60,00"
1541,33576,8/12/22 0:00,8/15/22 0:00,Sim,RUF0B14,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 2.790,00","R$ 0,00","R$ 372,00",30,"R$ 0,00"
576,33592,8/12/22 0:00,8/15/22 0:00,Sim,RFT6C18,Branco,Hilux Cd 4x4 2.8 Diesel Mec,"R$ 317,00","R$ 0,00","R$ 951,00",1,"R$ 0,00"
1845,34142,8/16/22 0:00,9/30/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 122,80","R$ 0,00","R$ 5.526,00",1,"R$ 0,00"
1305,33598,8/17/22 0:00,8/31/22 0:00,Sim,RUJ9E77,Branco,Gol 1.0 Flex 12v 5p,"R$ 2.300,00","R$ 0,00","R$ 1.073,38",30,"R$ 0,00"
1666,33600,8/18/22 0:00,8/22/22 0:00,Sim,RMO6H54,Branco,Gol 1.6 Msi Flex 8v 5p,"R$ 200,00","R$ 0,00","R$ 800,00",1,"R$ 0,00"
2367,33605,8/18/22 0:00,8/18/22 0:00,Sim,RUJ7H08,Branca,S10 Pick-up Ltz Dd4 A,"R$ 4.200,00","R$ 0,00","R$ 0,00",30,
