NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210054545746,E,B,5,E,A
210055268393,E,E,2,A,A
210055625889,E,E,3,B,A
210055489174,A,E,3,C,A
210057046838,E,E,3,C,A
210055624801,D,D,3,C,A
210056235295,E,D,3,C,A
210054795203,B,B,1,B,A
210057365033,F,G,3,B,A
210057840377,H,D,3,B,A
210057831700,C,C,5,D,A
210055754078,E,E,4,B,A
210057784498,E,E,2,A,A
210055659431,D,C,3,C,A
210056327306,B,A,1,D,A
210055504677,B,B,2,E,A
210057559559,H,D,3,A,A
210055808837,H,E,3,D,A
210055381897,F,E,3,D,A
210055797761,B,B,2,B,C
210056230325,D,D,5,C,A
210055301853,D,D,4,B,A
210056881925,D,B,2,C,A
210055652820,B,F,4,H,A
210057151496,C,C,3,B,A
210055605440,B,D,7,D,A
210057838862,D,C,4,D,A
210057785394,B,B,7,B,A
210057968407,B,E,3,B,A
210055565319,B,C,8,D,A
210055397677,B,D,3,C,A
210055079758,B,B,1,B,A
210054558619,H,B,3,C,A
210057388142,D,C,3,E,A
210057839528,E,E,4,E,A
210055706787,C,E,4,B,A
210057976249,E,E,3,F,A
210057949580,C,B,2,F,A
210055198715,F,G,4,D,A
210057558790,H,C,2,B,A
210055677026,C,D,6,D,A
210056630536,B,E,3,E,A
210057370089,D,B,5,F,A
210056258713,G,G,4,G,A
210056928026,D,D,3,D,A
210056549151,B,B,6,E,A
210055714925,B,G,4,G,A
210055596861,F,E,4,N,A
210057811807,B,B,4,E,A
210055082142,C,E,3,B,A
210057360522,C,D,5,B,A
210055619712,D,G,5,D,A
210055615161,H,E,8,E,A
210055470733,D,F,5,F,A
210056249256,D,E,4,D,A
210056560659,D,E,3,F,A
210055033187,E,E,4,B,A
210056936849,E,C,4,C,A
210055473407,D,E,1,B,A
210055378257,C,H,4,D,A
210056444233,F,F,4,E,A
210056570705,E,E,2,B,A
210057831806,E,E,5,E,A
210057399964,E,E,5,G,A
210057045901,C,C,4,E,A
210056903783,E,D,2,B,A
210054549042,H,C,3,C,B
210055606171,H,D,2,C,A
210055699370,B,D,4,B,A
210055667275,B,B,5,C,A
210057356345,D,G,6,D,A
210055778212,E,E,5,E,A
210055405870,C,E,4,D,A
210055450042,B,B,6,B,A
210056242893,C,G,4,G,A
210057804575,B,D,2,C,A
210055473590,B,G,5,B,A
210057860457,D,D,5,D,A
210055261456,F,F,3,I,A
210054816853,E,E,3,C,A
210055524163,B,B,4,C,A
210055755723,F,F,6,H,A
210054905049,E,F,3,E,A
210055529173,E,E,7,D,A
210057362195,B,B,3,B,A
210055250375,D,G,2,K,A
210054670053,A,D,4,C,A
210055710029,E,E,6,E,A
210057935895,E,E,4,G,A
210055037183,C,F,4,G,A
210055392863,H,H,1,B,A
210055460175,E,E,3,C,A
210055480205,C,E,4,C,A
210057340314,F,F,3,C,A
210058012375,D,E,2,C,A
210055548849,C,G,4,I,A
210055381396,H,E,2,F,A
210055694519,B,C,4,C,A
210055552217,E,D,6,D,A
210055516371,B,B,4,E,A
