Codigo Cliente,Codigo Contrato,Data Inicio do contrato,Data Término do contrato,Fechado,Placa,Cor,Fabricante,Modelo,ValorLocacao,Valor Periodo Seguro adicional,PeriodoTarifa,Valor Locação com seguro ,Valordiario 
26,1148,9/1/21 0:00,10/26/21 0:00,Sim,QNY5609,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.588.00,177.00,30,1765,58.83
92,3062,3/28/23 0:00,3/29/23 0:00,Sim,QQS7853,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,89.00,28.00,1,117,117.00
80,2814,1/13/23 0:00,1/23/23 0:00,Sim,QOV8599,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,1.170.00,39.00,12,1638,136.50
80,2937,2/16/23 0:00,2/24/23 0:00,Sim,QUB6448,Branco,Fiat,Fiat Strada Working Hard 1.4 Fire Flex 8V,223.40,39.00,1,262,262.40
89,2942,2/24/23 0:00,2/27/23 0:00,Não,RGC2E01,Prata,Hyundai,Hb20 Sense 1.0 Flex,115.00,28.00,1,143,143.00
38,1238,10/26/21 0:00,10/30/21 0:00,Sim,QNY5609,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,616.00,28.00,4,728,182.00
46,1595,3/2/22 0:00,4/4/22 0:00,Sim,QNV0923,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,2.752.00,177.00,30,2929,97.63
36,1236,10/13/21 0:00,10/14/21 0:00,Sim,QNY5612,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,154.00,28.00,4,266,66.50
78,2820,1/30/23 0:00,1/31/23 0:00,Sim,QOV8613,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,154.00,28.00,3,238,79.33
78,2706,12/26/22 0:00,12/26/22 0:00,Sim,QQS7867,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,126.00,28.00,1,154,154.00
73,2816,1/23/23 0:00,1/26/23 0:00,Sim,QQS9966,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,616.00,28.00,4,728,182.00
73,2588,11/14/22 0:00,12/14/22 0:00,Sim,QXI8104,Branco,Chevrolet,Chev/Onix 10tat Ltz,92.00,28.00,1,120,120.00
